Num postal caption,Número de vehicles implicats,Nom barri,Coordenada UTM (Y),Número de lesionats greus,Número de lesionats lleus,Nom districte,Descripció tipus dia,NK barri,NK Any,Nom mes,Descripció torn,Nom carrer,Número de morts,Codi carrer,Número d'expedient,Descripció dia setmana,Número de víctimes,Coordenada UTM (X),Mes de any,Dia de setmana,Codi districte,Dia de mes,_id,Hora de dia,Descripció causa vianant
9999 9999,2,la Barceloneta,"4581232,79",0,1,Ciutat Vella,Laboral,13-1-3,2011,Octubre,Matí,Barceloneta,0,199308,2011S007215,Dimarts,1,"432101,41",10,2,1,25,87,13,Desconegut
0032 0032,2,la Barceloneta,"4581125,17",0,1,Ciutat Vella,Laboral,13-1-3,2011,Febrer,Tarda,Joan Borbó Comte Barcelona,0,224904,2011S001116,Dijous,1,"432111,35",2,4,1,17,88,20,Desconegut
0025X0025X,1,"Sant Pere, Santa Caterina i la Ribera","4581634,83",0,2,Ciutat Vella,Laboral,14-1-4,2011,Novembre,Nit,Doctor Aiguader,0,700813,2011S007898,Dimecres,2,"432097,06",11,3,1,23,89,5,Desconegut
0027 0027,1,"Sant Pere, Santa Caterina i la Ribera","4581747,92",0,1,Ciutat Vella,Laboral,14-1-4,2011,Juny,Matí,Doctor Aiguader,0,700813,2011S004362,Diumenge,1,"432285,80",6,7,1,26,90,10,Desconegut
9998 9998,2,la Barceloneta,"4581521,97",0,1,Ciutat Vella,Laboral,13-1-3,2011,Maig,Matí,Doctor Aiguader,0,700813,2011S002994,Dimecres,1,"432007,38",5,3,1,4,91,8,Desconegut
000970000,2,la Barceloneta,"4581550,07",1,0,Ciutat Vella,Laboral,13-1-3,2011,Abril,Tarda,Litoral (Llobregat),0,701266,2011S002556,Dimecres,1,"432010,14",4,3,1,13,92,14,Desconegut
0008 0008,2,la Barceloneta,"4581416,98",0,2,Ciutat Vella,Laboral,13-1-3,2011,Octubre,Matí,Ginebra,0,145706,2011S006985,Dilluns,2,"432083,10",10,1,1,17,93,8,Desconegut
0002 0002,2,"Sant Pere, Santa Caterina i la Ribera","4581414,99",0,1,Ciutat Vella,Laboral,14-1-4,2011,Abril,Tarda,Isabel II,0,163504,2011S002833,Dimecres,1,"431649,18",4,3,1,27,94,20,Desconegut
0004 0004,2,"Sant Pere, Santa Caterina i la Ribera","4581428,97",0,1,Ciutat Vella,Laboral,14-1-4,2011,Maig,Matí,Isabel II,0,163504,2011S003397,Dijous,1,"431658,03",5,4,1,19,95,12,Desconegut
0014B0014B,2,"Sant Pere, Santa Caterina i la Ribera","4581519,65",0,3,Ciutat Vella,Laboral,14-1-4,2011,Març,Tarda,Isabel II,0,163504,2011S001674,Divendres,3,"431716,96",3,5,1,11,96,17,Desconegut
0007 0007,2,la Barceloneta,"4581356,74",0,1,Ciutat Vella,Laboral,13-1-3,2011,Juliol,Matí,Joan Borbó Comte Barcelona,0,224904,2011S005059,Diumenge,1,"432044,96",7,7,1,24,97,10,Desconegut
0017 0017,1,"Sant Pere, Santa Caterina i la Ribera","4581564,95",0,1,Ciutat Vella,Laboral,14-1-4,2011,Maig,Matí,Palau,0,240707,2011S003366,Dimecres,1,"431829,98",5,3,1,18,98,13,Creuar per fora pas de vianants
